manufacturer_id,status
4281847,PENDIENTE_GRABADO
4281848,PENDIENTE_GRABADO
4281849,PENDIENTE_GRABADO
4281850,PENDIENTE_GRABADO
4281851,PENDIENTE_GRABADO
4281852,PENDIENTE_GRABADO
4281853,PENDIENTE_GRABADO
4281854,PENDIENTE_GRABADO
4281855,PENDIENTE_GRABADO
4281856,PENDIENTE_GRABADO
4281857,PENDIENTE_GRABADO
4281858,PENDIENTE_GRABADO
4281859,PENDIENTE_GRABADO
4281860,PENDIENTE_GRABADO
4281861,PENDIENTE_GRABADO
4281862,PENDIENTE_GRABADO
4281863,PENDIENTE_GRABADO
4281864,PENDIENTE_GRABADO
4281865,PENDIENTE_GRABADO
4281866,PENDIENTE_GRABADO
4281867,PENDIENTE_GRABADO
4281868,PENDIENTE_GRABADO
4281869,PENDIENTE_GRABADO
4281870,PENDIENTE_GRABADO
4281871,PENDIENTE_GRABADO
4281872,PENDIENTE_GRABADO
4281873,PENDIENTE_GRABADO
4281874,PENDIENTE_GRABADO
4281875,PENDIENTE_GRABADO
4281876,PENDIENTE_GRABADO
4281877,PENDIENTE_GRABADO
4281878,PENDIENTE_GRABADO
4281879,PENDIENTE_GRABADO
4281880,PENDIENTE_GRABADO
4281881,PENDIENTE_GRABADO
4281882,PENDIENTE_GRABADO
4281883,PENDIENTE_GRABADO
4281884,PENDIENTE_GRABADO
4281885,PENDIENTE_GRABADO
4281886,PENDIENTE_GRABADO
4281887,PENDIENTE_GRABADO
4281888,PENDIENTE_GRABADO
4281889,PENDIENTE_GRABADO
4281890,PENDIENTE_GRABADO
4281891,PENDIENTE_GRABADO
4281892,PENDIENTE_GRABADO
4281893,PENDIENTE_GRABADO
4281894,PENDIENTE_GRABADO
4281895,PENDIENTE_GRABADO
4281896,PENDIENTE_GRABADO
